id,title,description,date_created,slug,cover
5a35df7c-7a32-424e-b166-ef4d60b05e1c,"""Verwöhnter Mann"" 100x100 oil on canvas",[](https://bid.desa.pl/lots/view/1-A4E2RN/jakub-kpka-1996-verwhnter-mann-2024) ,2025-02-04T22:23:17.429Z,-verwoehnter-mann-,18df2c2c-ede9-4fc1-8ca4-8048ac35fcb4
8fb46f57-8b19-4435-9ab5-df29b4df8269,"""Quarter mushroom"" 40x50 cm oil on linen canvas","Every time I used mushrooms in the kitchen I was fascinated by their structure and how they are built. So once I put one quarter of a mushroom over the canvas I added the scenery that from the painting ""Torment"" I want to continue and just painted it. I felt great satisfaction is painted in the way I aspire in painting. This work has given me a lot of happiness and fulfillment. It is a tribute to nature and its brilliant design. The second painting, on the other hand, is an ongoing fascination with bones as also an ideal building block in nature.

",2024-02-14T00:48:07.472Z,shroom,0441ac3b-0954-4945-9aef-a90889c13646
89e3afb4-7f5e-49a5-8228-c3248fa5580c,"""Torment"" 60x70 2023 Oil on wood ","""Torment""
A painting depicting the problems the author is facing, moments when he feels a complete lack of motivation and value. The eyes represent a harsh assessment of the inner self, which mercilessly on the basis of traumas with a cold gaze convinces the author of his weakness. The face, on the other hand, conveys a facial expression intended to convey a sense of humiliation of regret and hopelessness, the grimace is sad and pleading in its attitude to the eyes. The face asks that the self-criticism stop because it leads to disaster and a sense of complete helplessness and hopelessness. The sharp elements symbolize the pain of the situation, and the wall is symbolic of the author's feeling that he has reached a wall that he is unable to pass through, it also symbolizes the fear that a wall has been created through drugs, which will never again allow him to feel his previous joy, satisfaction and motivation. The green color symbolizes space, like fields or gardens, but is reduced to the simplest, uninteresting, drab form, which also highlights this with the author's fear of not being able to see the beauty of nature in a real way. The green element of grass, land, is trimmed down to such simplicity that it resembles not quite generated computer graphics, which also has a very negative connotation in the eyes of the creator.The mustard color at the bottom is a reference to an earlier work with the title ""According to Nolde, yellow means suffering"" here the color of yellow is supposed to be so intense that it goes all the way to dark mustard, which is supposed to emphasize the state of very strong, even unbearable property.
",2023-12-17T23:29:43.790Z,umeczenie,2883ef01-1932-4b78-a2a0-281e8bae8be8
21b69b79-5615-4ffe-841a-bf3b86d62712,"""Untitled"" 60x80 2023 SOLD",,2023-12-17T23:25:56.370Z,untitled,83411b19-fda3-4286-9d3c-99b20c68a4da
2a760dff-da14-4c7a-b762-1dd50573dbfa,"""Untitled"" 100x100 2023 ",,2023-12-17T23:20:30.336Z,obrazzz,99edd8d3-6f45-4458-8b95-085a6098d16d
5135571b-133a-47bf-8d41-0d48343095c2,"""Forgetness"" 60x80 2023",,2023-12-17T23:01:43.174Z,obraz,d93d7f95-1ac1-45d4-9969-d4fc735f7ba5
bef5f0dc-9cf2-498f-959e-e24eb447b5b1,"""Phielons hand"" paper a3 coal 2023 French ",,2023-12-17T23:27:50.997Z,hand,2e5f03e9-9fa5-4865-a502-81d513509ea2
3447f2fc-0f6e-4872-934b-39795f3d2ce5,"""Grey aura in an athletic body"" 120x100cm  acrylic on canvas 2022",,2023-04-08T23:20:06.049Z,szaraaura,57ebeaef-60bb-4a93-8439-90fbcc728833
ea364854-a53d-402a-b7f9-73b6b2e7d9df,The first Dog I ever loved (Sold),,2022-11-21T23:58:23.058Z,pies-wlasciwy,4c8f0eb1-e45b-4044-86c3-16eaaa26ccda
e14a0a08-59e0-4aec-80dc-e45c5d680ac2,"Pain in the right side of the body, upper (Sold)","40x50cm, acrylic on canvas, 2022",2022-11-21T23:55:08.707Z,pies,2de54070-b3b3-4600-a9f0-ae81201191da
